ID,Diametre_mm,Masse_g,Rugosite_um,Temperature_C,Vibration_mm_s,Couleur_indice,Ultrason_dB,Durete_HV,Defectueuse,TypeDefaut
P0001,49.94,119.63,1.245,36.293,2.144,0.4677,79.144,215.664,0,0
P0002,49.676,124.727,1.624,45.425,3.216,0.6218,51.908,157.317,1,3
P0003,50.104,117.235,1.79,36.351,2.804,0.6159,60.232,165.07,1,3
P0004,50.256,117.423,1.062,38.244,1.615,0.461,74.101,200.887,0,0
P0005,49.885,117.84,1.245,34.519,1.112,0.4823,79.714,210.006,0,0
P0006,49.621,118.998,1.8,47.046,2.896,0.6047,69.214,195.063,1,4
P0007,49.975,118.804,1.665,37.007,1.264,0.5296,NaN,202.97,0,0
P0008,49.914,118.558,1.601,34.218,1.929,0.5446,76.084,207.736,0,0
P0009,49.847,121.526,2.875,41.943,2.552,0.7172,74.333,193.171,1,2
P0010,50.072,120.583,1.272,34.696,1.916,0.6009,80.492,204.901,0,0
P0011,49.819,119.186,1.939,35.621,2.911,0.7431,56.097,186.075,1,3
P0012,50.124,121.011,1.185,35.459,1.826,0.4881,74.863,198.851,0,0
P0013,50.065,120.32,1.242,37.507,2.34,0.4944,71.208,203.513,0,0
P0014,49.789,118.114,1.347,32.38,1.465,0.5176,69.076,208.352,0,0
P0015,50.055,123.14,1.179,34.979,1.589,0.5416,77.351,205.949,0,0
P0016,49.743,122.044,1.457,37.678,2.555,0.7399,45.143,154.987,1,3
P0017,50.188,122.17,1.969,38.25,2.765,0.6703,70.312,207.468,1,1
P0018,50.435,121.701,1.061,31.778,1.715,0.4901,71.691,198.023,0,0
P0019,50.118,120.084,1.169,36.643,1.646,0.5056,78.643,205.099,0,0
P0020,49.923,119.877,1.054,35.5,1.549,0.5971,74.373,209.856,0,0
P0021,49.886,117.952,1.013,33.821,1.479,0.5368,70.712,202.055,0,0
P0022,49.904,117.059,1.367,65.19,4.327,0.4841,67.126,228.786,1,4
P0023,49.908,122.078,1.022,32.039,1.56,0.5597,76.615,NaN,0,0
P0024,50.821,112.818,2.383,39.347,3.589,0.6059,66.197,179.299,1,1
P0025,49.597,116.416,1.231,39.511,1.758,0.5126,35.328,220.195,1,1
P0026,49.517,NaN,1.763,40.038,3.196,0.752,47.296,162.381,1,3
P0027,49.994,116.176,0.687,42.616,2.8,0.3995,48.991,130.904,1,3
P0028,50.144,117.618,1.355,35.99,1.619,0.5518,76.753,204.537,0,0
P0029,50.527,121.481,1.667,41.04,0.47,0.5669,54.786,223.265,1,1
P0030,50.506,122.98,3.383,44.533,3.116,0.6435,68.142,171.922,1,1
P0031,50.039,123.841,1.291,29.033,2.012,0.4949,79.48,201.989,0,0
P0032,50.619,117.185,1.762,44.95,1.844,0.6033,76.093,206.201,1,1
P0033,49.896,119.585,1.2,36.538,1.397,0.5506,73.67,211.012,0,0
P0034,49.42,117.06,2.611,36.466,3.088,0.5752,40.344,173.144,1,1
P0035,49.964,119.37,1.468,33.133,1.409,0.5156,73.532,215.13,0,0
P0036,49.941,119.683,1.632,44.538,1.68,0.4079,62.767,200.138,1,2
P0037,50.323,117.954,1.265,34.98,1.649,0.5433,75.526,206.039,0,0
P0038,49.721,123.148,3.143,42.576,2.247,0.4163,71.871,160.561,1,2
P0039,50.042,119.822,1.216,35.526,1.653,0.5085,73.941,202.783,0,0
P0040,49.922,122.415,1.147,30.429,1.91,0.5278,79.508,211.633,0,0
P0041,50.44,121.948,3.141,43.039,3.349,0.7529,60.66,158.377,1,2
P0042,49.973,123.652,0.904,28.796,1.587,0.5234,72.531,195.198,0,0
P0043,50.308,120.754,3.236,37.564,3.188,0.8362,58.36,171.723,1,2
P0044,49.995,122.882,1.479,30.338,1.27,0.4605,69.775,208.488,0,0
P0045,50.033,118.503,0.936,34.476,1.813,0.4975,75.817,202.597,0,0
P0046,49.936,117.205,3.457,36.552,2.997,0.5311,69.467,194.502,1,2
P0047,50.27,123.85,1.005,34.376,1.269,0.5406,76.887,196.422,0,0
P0048,50.138,120.023,0.949,34.133,1.46,0.5094,74.046,206.545,0,0
P0049,49.664,113.826,2.009,39.702,2.819,0.6141,53.287,177.719,1,3
P0050,49.921,121.545,0.777,29.364,1.911,0.4877,81.017,203.281,0,0
P0051,49.972,121.327,0.912,33.975,1.808,0.4952,77.254,204.185,0,0
P0052,49.379,117.128,2.054,NaN,2.466,0.5444,52.253,171.316,1,3
P0053,50.153,117.893,1.243,44.224,4.614,0.5894,79.705,195.342,1,4
P0054,49.879,122.803,1.179,33.792,1.396,0.5977,NaN,206.422,0,0
P0055,50.123,119.577,1.452,35.409,1.881,0.5186,72.002,195.912,0,0
P0056,49.973,117.444,1.568,36.585,1.732,0.5079,79.232,213.264,0,0
P0057,50.135,126.895,0.783,33.474,3.157,0.8223,65.881,187.765,1,1
P0058,49.584,120.158,0.927,37.962,2.033,0.5061,75.88,205.873,0,0
P0059,NaN,114.239,3.067,31.628,2.16,0.7285,61.446,218.951,1,2
P0060,50.013,120.871,1.06,33.437,1.792,0.5541,77.066,219.751,0,0
P0061,50.397,119.182,1.724,34.676,2.745,0.6015,57.323,190.009,1,3
P0062,49.62,120.476,1.239,37.031,1.773,0.5826,67.598,207.638,0,0
P0063,49.909,120.426,1.394,35.352,1.866,0.4891,72.968,206.482,0,0
P0064,49.738,119.027,1.809,37.5,4.532,0.6952,68.646,179.866,1,2
P0065,49.495,117.953,1.396,33.742,1.31,0.5593,72.354,200.09,0,0
P0066,49.879,118.315,1.679,NaN,3.577,0.5418,60.83,216.3,1,4
P0067,50.495,122.248,1.352,48.005,3.58,0.6207,69.019,195.805,1,4
P0068,49.793,121.264,1.443,40.986,3.753,0.5881,59.164,172.911,1,3
P0069,50.004,124.383,1.918,50.97,4.191,0.4814,64.633,195.29,1,4
P0070,50.072,117.918,1.533,34.435,1.889,0.4966,73.417,215.592,0,0
P0071,49.831,119.197,1.684,31.66,2.033,0.6259,43.599,172.522,1,3
P0072,49.86,118.079,1.542,37.663,1.171,0.4973,77.569,204.457,0,0
P0073,49.917,110.061,1.506,39.99,2.775,0.6143,64.725,189.966,1,1
