ID_Piece,NumeroLot,DateProduction,Machine,Materiau,Poste,Equipe,Fournisseur,Diametre_mm,Longueur_mm,Epaisseur_mm,Masse_g,Rugosite_um,Circularite_um,Temperature_C,Vibration_RMS_mm_s,Vibration_Pic_mm_s,NiveauAcoustique_dB,FrequenceDominante_Hz,AmplitudeUltrason_dB,TempsVolUltrason_us,Durete_HV,Conductivite_MS_m,Humidite_pct,Defectueuse
AERO-000001,LOT-2503-0088,02-mars-2025 21:39:00,M03,TI6AL4V,USINAGE,MATIN,FOUR_A,50.122,124.539,7.914,317.555,1.136,19.965,32.364,1.673,5.284,64.729,501.54,80.726,14.7036,238.48,16.974,48.06,0
AERO-000002,LOT-2501-0192,09-janv-2025 04:33:00,M04,AL7075,TRAITEMENT,SOIR,FOUR_A,49.991,125.447,7.895,303.227,1.417,14.902,36.346,1.771,6.031,63.552,359.61,78.057,14.2829,205.328,20.37,32.41,0
AERO-000003,LOT-2511-0237,10-nov-2025 18:23:00,M04,AL7075,TRAITEMENT,SOIR,FOUR_D,49.916,124.645,7.958,300.996,0.925,23.417,31.928,1.159,4.821,67.743,381.27,81.012,14.8425,198.703,19.354,45.74,0
AERO-000004,LOT-2512-0060,01-déc-2025 18:50:00,M05,INCONEL718,TRAITEMENT,SOIR,FOUR_A,50.091,125.277,NaN,319.979,1.044,11.838,38.128,1.914,6.205,67.445,425.56,77.356,14.7392,245.098,20.322,40.99,0
AERO-000005,LOT-2501-0084,18-janv-2025 07:26:00,M05,INCONEL718,CONTROLE,NUIT,FOUR_A,50.14,125.084,7.877,323.113,1.247,24.663,34.363,1.715,5.587,65.344,478.44,81.524,15.0021,266.753,18.474,42.27,0
AERO-000006,LOT-2507-0224,26-juil-2025 06:53:00,M06,AL7075,TRAITEMENT,MATIN,FOUR_A,49.796,125.488,8.078,306.322,1.295,19.33,31.028,1.545,5.528,71.207,378.92,84.294,14.4583,210.322,17.474,34.74,0
AERO-000007,LOT-2504-0191,22-avr-2025 02:59:00,M04,AL7075,CONTROLE,SOIR,FOUR_C,49.91,124.793,8.236,304.167,1.562,18.402,33.945,0.754,4.011,71.487,462.72,74.298,14.4241,192.31,19.535,39.07,0
AERO-000008,LOT-2502-0028,04-févr-2025 06:52:00,M05,AL7075,CONTROLE,MATIN,FOUR_C,50.213,125.28,7.774,304.487,1.248,22.927,35.493,1.896,5.772,65.964,420.65,78.569,14.283,NaN,21.28,46.74,0
AERO-000009,LOT-2508-0065,04-août-2025 15:31:00,M05,TI6AL4V,USINAGE,SOIR,FOUR_B,49.866,125.13,8.049,313.947,2.148,23.152,35.189,1.726,5.705,65.667,435.31,77.74,14.5967,242.613,17.757,46.19,1
AERO-000010,LOT-2509-0213,10-sept-2025 14:25:00,M04,AL7075,TRAITEMENT,SOIR,FOUR_B,49.983,125.67,8.16,300.466,1.136,18.624,33.208,0.979,4.716,68.073,356.5,79.862,14.6973,190.401,16.746,43.54,0
AERO-000011,LOT-2502-0134,21-févr-2025 20:49:00,M03,INCONEL718,TRAITEMENT,MATIN,FOUR_A,49.932,124.372,8.075,324.13,1.152,15.177,32.278,1.376,5.25,69.535,411.17,76.885,14.7346,254.39,17.499,41.01,0
AERO-000012,LOT-2509-0207,10-sept-2025 07:41:00,M06,AL7075,TRAITEMENT,MATIN,FOUR_D,49.992,125.248,7.995,303.082,1.026,19.767,39.751,1.74,6.067,68.501,456.15,81.66,14.3289,201.823,20.833,52.35,0
AERO-000013,LOT-2508-0198,09-août-2025 15:29:00,M01,TI6AL4V,USINAGE,SOIR,FOUR_B,50.352,125.807,8.1,313.608,1.108,17.189,33.062,0.914,4.888,67.391,473.07,76.569,14.3237,246.237,17.007,50.2,0
AERO-000014,LOT-2506-0077,02-juin-2025 11:16:00,M01,INCONEL718,CONTROLE,SOIR,FOUR_C,50.147,125.368,7.911,318.834,1.327,14.787,34.041,1.5,5.253,71.288,453.09,73.883,14.6281,233.446,20.249,47.42,0
AERO-000015,LOT-2602-0071,07-févr-2026 16:33:00,M01,AL7075,TRAITEMENT,MATIN,FOUR_C,49.969,124.921,7.951,304.975,0.716,13.001,33.845,1.613,5.852,69.173,417.13,80.528,14.6933,204.679,18.859,36.73,0
AERO-000016,LOT-2508-0208,27-août-2025 01:13:00,M02,AL7075,USINAGE,MATIN,FOUR_B,49.953,125.073,7.909,298.066,0.747,17.647,33.624,1.771,5.744,68.696,398.18,75.949,14.5773,196.382,18.753,38.15,0
AERO-000017,LOT-2501-0003,15-janv-2025 15:41:00,M06,AL7075,USINAGE,MATIN,FOUR_A,50.272,125.54,7.981,301.018,1.221,14.696,37.531,1.382,4.916,70.785,412.28,81.736,14.5839,200.755,17.868,44.06,0
AERO-000018,LOT-2601-0001,05-janv-2026 01:41:00,M01,AL7075,CONTROLE,MATIN,FOUR_A,49.949,123.975,8.023,301.449,0.865,15.504,29.375,1.296,5.039,68.512,421.43,86.531,14.716,195.852,18.899,44.62,0
AERO-000019,LOT-2506-0037,09-juin-2025 20:19:00,M02,AL7075,USINAGE,MATIN,FOUR_B,49.723,124.527,8.013,301.597,1.011,14.814,31.203,1.147,4.963,72.839,401.33,86.4,14.3804,189.919,20.682,36.21,0
AERO-000020,LOT-2506-0038,24-juin-2025 20:22:00,M01,INCONEL718,USINAGE,NUIT,FOUR_B,50.069,124.882,8.009,319.675,NaN,19.963,31.293,1.176,5.485,73.325,372.29,75.433,14.7272,246.993,19.799,45.03,0
AERO-000021,LOT-2503-0028,01-mars-2025 04:49:00,M06,INCONEL718,TRAITEMENT,NUIT,FOUR_C,49.816,125.34,8.068,324.671,0.652,24.546,34.39,1.776,5.408,71.04,445.07,73.181,14.7991,243.808,19.448,39.12,0
AERO-000022,LOT-2508-0111,15-août-2025 18:25:00,M06,TI6AL4V,TRAITEMENT,NUIT,FOUR_D,50.052,125.314,7.97,310.938,1.266,14.822,39.057,1.69,4.684,74.971,259,56.784,15.2435,249.456,19.323,44.74,1
